id,xmid,ymid,radius,ubulk,HtAvg
76,0.0001725,5.19615242270663e-05,2.5e-06,6.22849581763369e-05,0.093603745084271
77,0.0001725,7.79422863405995e-05,2.5e-06,3.73424108309581e-05,0.739050464919096
78,0.0001725,0.000103923048454133,2.5e-06,4.57383074074086e-05,0.661745879426613
79,0.0001725,0.000129903810567666,2.5e-06,4.56611472583639e-05,0.743241677385556
80,0.0001725,0.000155884572681199,2.5e-06,5.00820176120133e-05,0.777237067391286
81,0.0001725,0.000181865334794732,2.5e-06,7.07893384593388e-05,0.456376468570078
82,0.0001725,0.000207846096908265,2.5e-06,0.000167370067598997,0.0172305401398906
83,0.0001725,0.000233826859021798,2.5e-06,0.00024978265649396,0.000931380548102196
84,0.0001725,0.000259807621135332,2.5e-06,0.000154107975187357,0.29664470457055
85,0.000195,1.29903810567666e-05,2.5e-06,5.31598642535706e-05,0
86,0.000195,3.89711431702997e-05,2.5e-06,4.85964699393908e-05,0.00884811520697086
87,0.000195,6.49519052838329e-05,2.5e-06,4.52950463746973e-05,0.0936037450842709
88,0.000195,9.09326673973661e-05,2.5e-06,3.58911020657238e-05,0.263115004838871
89,0.000195,0.000116913429510899,2.5e-06,3.15871184094627e-05,0.421915388290296
90,0.000195,0.000142894191624432,2.5e-06,4.45044253639892e-05,0.538803647077123
91,0.000195,0.000168874953737966,2.5e-06,5.61020930776732e-05,0.735790633000738
92,0.000195,0.000194855715851499,2.5e-06,6.39107586869254e-05,0.716697331764643
93,0.000195,0.000220836477965032,2.5e-06,0.000187092471763843,0.136447250296972
94,0.000195,0.000246817240078565,2.5e-06,0.000433860650064733,0.0950008159064242
95,0.0002175,0,2.5e-06,1.53504151516263e-05,0
96,0.0002175,2.59807621135332e-05,2.5e-06,2.35922115045605e-05,0
97,0.0002175,5.19615242270663e-05,2.5e-06,2.4446519682779e-05,0
98,0.0002175,7.79422863405995e-05,2.5e-06,2.91953902780234e-05,0
99,0.0002175,0.000103923048454133,2.5e-06,3.10824492671073e-05,0
100,0.0002175,0.000129903810567666,2.5e-06,1.70039315994957e-05,0.0554171426120808
101,0.0002175,0.000155884572681199,2.5e-06,2.6541188394236e-05,0.186741799894491
102,0.0002175,0.000181865334794732,2.5e-06,6.47463243295767e-05,0.403753467602304
103,0.0002175,0.000207846096908265,2.5e-06,7.08033219144104e-05,0.559294019135372
104,0.0002175,0.000233826859021798,2.5e-06,0.000132322634551218,0.440542999252341
105,0.0002175,0.000259807621135332,2.5e-06,0.000564915613326976,0.111765665772264
106,3.75e-06,6.49519052838329e-06,2.5e-06,0.001,0.188604560990695
107,3.75e-06,1.94855715851499e-05,2.5e-06,0.00049193401897716,0.0740447535741247
108,3.75e-06,3.24759526419164e-05,2.5e-06,0.000491934018977164,0.075441824396278
109,3.75e-06,4.5466333698683e-05,2.5e-06,0.000262088362511993,0.13970708221533
110,3.75e-06,5.84567147554496e-05,2.5e-06,0.000262088362511992,0.135981560022921
111,3.75e-06,7.14470958122162e-05,2.5e-06,0.000157031879008954,0.225394092640733
